"comment_id","author","body","source","channel"
"Ugz8LFOp0vaDUHpjto94AaABAg","@DollieDaze","For Millennials, that smaller outside screen is so nostalgic to the size of phones we were used to. I would absolutely purchase this phone for the flip style as well as a smaller screen and the compactness.","youtube","mkbhd"
"UgyXhcIkK7wey8cAb0d4AaABAg","@McNgcobo","I’m obsessed ❤❤❤❤I’m not sure if it will ever come to South Africa","youtube","mkbhd"
"Ugw_udEegk2CLpmkh7l4AaABAg","@WayneTheGr8est","How is an 8 gen 1 mid range ?","youtube","mkbhd"
"UgwCYbytaBMYx8f_lLF4AaABAg","@tsovka","I want this phone! 🙂","youtube","mkbhd"
"UgzwEhL4NQfWpQH1RCZ4AaABAg","@Ace_not_awake","The phone breaks as quickly as the apple 14 did so no, if you didn't buy a case, the mini screen is gonna break. Now it glitches a LOT and I can't even turn it off forever. Don't recommend","youtube","mkbhd"
"UgzM5GiW4nC3I8f6y454AaABAg","@kjsubtitles7687","I never really explored or had any other device other than an iPhone. But after seeing this phone. I had to switch over!!","youtube","mkbhd"
"UgyXESTmr20kSdwPjNt4AaABAg","@pinklegocupcake","its 12g ram, n 256g w 165hz inside and out","youtube","mkbhd"
"UgyR4tNFP9CG6UvGPUR4AaABAg","@6clawmaari","Please review Razer 50 ultra","youtube","mkbhd"
"Ugyywp4VSleQyh0CrUN4AaABAg","@sotechy92","Just purchased this phone from eBay for $120, yes $120! Lol everything is solid except the seller says ""front inside camera"" has a ""flicker"". I'm cool with that trade off lol Such a great phone and a solid upgrade from my still reliable, Z flip 3 5g.","youtube","mkbhd"
"UgxMznpjwnpqE83E9PN4AaABAg","@jakey20022","Did i miss the Razr 2024 review ?!","youtube","mkbhd"
"Ugxn1IkWgztQeRgCLUh4AaABAg","@brotatoalan2189","Will you review the new model please and compare it with the new Z flip🎉🎉🎉","youtube","mkbhd"
"UgzT5IMXwLmEGKeErgh4AaABAg","@suemarie6676","So tough question is this razor + better than Samsung Galaxy z -5 anyone? I'm trying to make a decision ty","youtube","mkbhd"
"UgxQWzwxDskPafXu0oN4AaABAg","@spacesh3p","They should bring back the Flipout.. it’d be about the same size as one of these folded, but could bring back the PKB.","youtube","mkbhd"
"Ugyzsl9gxq3PGYEN6KR4AaABAg","@theflyingflux","bought it today at 58% discount, and im loving it","youtube","mkbhd"
